ردیف,پرسش,پاسخ
24,آیا بیمه نامه انفرادی فسخ می شود؟,فقط با تایید بیمه گر در شرایط خاص انجام میشود مثل فوت (اراِیه گواهی فوت)و طلاق (ارایه طلاقنامه)،مهاجرت ،از دست دادن شغل و نداشتن درآمد بیمه گزار درخواست فسخ ارسال می نماید این موضوع توسط شعبه سرپرستی واحد صدور بررسی و در صورت تایید الحاقیه ی فسخ توسط واحد صدور ثبت میگردد یا ممکن است بعلت نارضایتی بیمه گزار از واحد صدور یا نحوه پرداخت خسارت و ...درخواست فسخ را طی شکایت به بیمه ی مرکزی یا واحد شکایات بیمه سامان ارسال نمایدکه این مورد نیز پس از بررسی و در صورت تایید ستاد منجر به فسخ از طرف بیمه گزار می گردد.      **نکته**در صورت دریافت خسارت حق بیمه به بیمه شده عودت نمی گردد
25,نحوه ی ابطال بیمه نامه درمان به چه شکل است؟,اگر ابطال به دلیل منصرف شدن بیمه گزار باشد فقط تا 15 روز پس از تاریخ صدور به شرطی که خسارتی از بیمه سامان دریافت نکرده باشد انجام می شود و حق بیمه عودت میخورد.(درخواست خود را بصورت کتبی همراه با نام و نام خانوادگی،تاریخ و امضا تحویل عامل صدور دهد.)
26,آیا جهت تغییر طرح لازم است فرم پرسشنامه پر شود؟,بله
27,اگر در بیمه نامه خانواده به علت عدم حسن نیت بیمه برای یکنفر از اعضای خانواده ابطال شود  بیمه نامه ی افراد دیگر خانواده  فعال می ماند؟,خیر 
28,مشتریان وفادار در بیمه تکمیلی انفرادی و خانواده به چه کسانی گفته می شود؟,شامل مشتریانی می باشد که بیمه نامه  تکمیلی ایشان حداقل برای 2 سال متوالی در شرکت بیمه سامان تمدید شده باشد.
29,اتباع خارجی که درخواست صدور بیمه تکمیلی دارند می بایست مدت اقامتشان در ایران به چه صورت باشد؟,برای اتباع و مهاجرین خارجی حتما می بایست اقامت ایشان در ایران  6 ماه و بیشتر باشد در صورتیکه اقامت کمتر از 6 ماه  داشته باشند صدور بیمه تکمیلی امکانپذیر نیست.
30,آیا صدور بیمه تکمیلی برای اتباع امکان پذیر است؟,بله، در صورت درخواست فرد و ارائه مدارک: کد اتباع، گذرنامه ی معتبر، گواهی اشتغال به کار بلامانع است.
31,مدت زمان اضافه شدن به لیست بیمه سرپرست برای موارد ازدواج و تولد چه قدر میباشد؟,مدت زمان اضافه شدن به لیست سرپرست در مورد ازدواج یک ماه و در مورد تولد دو ماه میباشد.
32,آیا در طرح های انفرادی و خانواده(طرح عقیق-سرو-سپیدار-افرا) متقاضی می تواند  پوشش زایمان و یا بیماری هایی که سابقه قبلی دارند حذف نماید؟,متقاضی امکان درخواست حذف پوشش ندارد _در طرح های جدید بنا بر تشخیص پزشک معتمد می توان بیمه درمان را با استثنا نمودن بیماری صادر نمود و هزینه پوشش مذکور کسر می گردد.جهت استثنا نمودن بیماری، پزشکان معتمد نظر خود را می بایست به تایید پزشکان ستاد برسانند و در زمان صدور بیمه نامه تصویر تایید یه پزشک ستاد در فناوران بارگزاری شده و عین متن پزشک ستاد در شرایط خصوصی درج گردد.
33,در چه صورت دوره انتظار بیمه نامه های انفرادی و خانواده صفر خواهد شد؟,در صورتیکه بیمه نامه ای که در سامان دارد تمام شود تا 30روز  فرصت تمدید وجود دارد در این صورت برای بیمه نامه بعدی دوره انتظار صفر خواهد شد و در صورتیکه شخص بیمه نامه بصورت انفرادی یا گروهی در شرکت بیمه ای دیگری داشته باشد در صورت اخذ نامه از ستاد شرکت بیمه گر به شرط آنکه از تاریخ اتمام آن بیشتر از یکماه نگذشته باشد.
34,شرایط بیمه شدن نوزاد چیست ؟ (در انفرادی و خانواده),تادو ماهگی نوزاد می توانند درخواست خود را به واحد صدورشان اعلام نمایند مدارک ارائه دهند و فرم سلامت را برای نوزاد پر کنند پزشک معتمد بررسی نمایند در صورت تایید پزشک  از بدو تولد صادر می شود در غیر اینصورت باید تا سر سال بیمه ای والد صبر نمایند_اگر نوزاد به هر علتی در NICUبستری باشد پزشک سامان تایید نمی دهد که بیمه صادر شود.(بعد از اینکه نوزاد مرخص شد و سلامتی خود را بدست آورد می توانند با مراجعه به نماینده درخواست خود را ثبت کنند پزشک معتمد بررسی نماید.)
35,طرح های مدکاور چیست ؟ در صورتیکه شخص حین خرید از اپلیکیشن 724 به مشکلی برخورد و بابت موارد صدور و قرارداد طرح های مد کاور با چه شخصی می توانند پیگیری نمایند؟,"طرح های مدکاور برای افرادی صادر می شود که بیماری خاصی دارند و با خرید این بیمه نامه آن بیماری مستثنی از تعهدات بیمه می شود- حق بیمه بسته به سن، جنسیت، بیماری مشخص می شود اما تخفیفات نقدی و خانواده را دارا می باشد-خرید طرح های مدکاور از اپلیکیشن 724 انجام میشود و شخص با پاسخ دادن به چند سوال متوجه صدور یا عدم صدور بیمه  ی تکمیلی مدکاور میشود - در صورتیکه شخص بابت موارد مربوط به صدور و یا قرارداد و یا حین خرید به مشکلی برخوردند می توانند از طریق ""پیامک"" یا ""واتسپ"" با شماره ی 09108608757 خانم قمصری در ارتباط باشند. "
36, در صورتیکه بیمه نامه در سیستم فناوران ثبت شده باشد به معنای صدور و شروع پوشش ها است؟,خیر، بیمه نامه فاقد شماره بیمه نامه فقط ثبت شده ولی پوشش ها شروع نشده است.
37,در صورتیکه شخص درخواست صدور بیمه تکمیلی داشته باشد و پزشک معتمد درخواست ایشان را تایید نکند چه اتفاقی رخ می دهد؟,صدور بیمه تکمیلی به نظر پزشک معتمد سامان بستگی دارد و اگر پزشک صلاح نداند برای شخص بیمه نامه ی تکمیلی صادر شود نام ایشان در لیست سیاه سامان قرار داده می شود و از طریق هیچ نماینده ی دیگری نمیتوانند درخواست صدور بیمه تکمیلی دهند.
38,آیا خانم های باردار می توانند هر کدام از 4 طرح های انفرادی و خانواده (عقیق-سرو-سپیدار-افرا)خریداری نمایند؟,بله،بیمه شده می بایست طرح مورد نظر و وضعیت سلامت خود را در پرسشنامه قید نماید و با توجه به بررسی و مطابق نظر پزشک معتمد صادر خواهد شد.
صدور بیمه نامه گروهی ,,
1,بیمه گزار در طرح های sme چه شخصی است؟,بیمه گزار شخص حقوقی (و یا کارفرمای حقیقی عنوان شده در لیست بیمه گر پایه با کد کارگاه )است که مشخصات وی در بیمه نامه ذکر گردیده و متعهد به پرداخت حق بیمه بوده و می بایست دارای کد اقتصادی باشد،در صورتیکه کد اقتصادی نداشته باشند اعلام کد کارگاه الزامی است.
2,بيمه نامه درمان گروهي براي چند نفر صادر مي شود؟,با توجه به طرح های جدید sme  شرکت های کوچک و متوسط هم می توانند بیمه نامه گروهی داشته باشند و حداقل تعداد پرسنل باید 20 نفر باشد اما اگر کمتر از این تعداد هم باشند می توانند درخواست خود (لیست بیمه و طرح های انتخابی پرسنل ) را به نماینده ارائه دهند تا بررسی شود. و برای پرسنل با تعداد بیشتر با شماره 8943 تماس گرفته فرم پیشنهاد ممهور خود را ارائه دهند تا بررسی شود.
3,اعلام نرخ جهت سازمانها و شرکتها به چه صورت می باشد ؟,با توجه به ارسال نامه رسمی از سوی بیمه گزار (سازمانها و شرکتها)و یا تکمیل فرم پیشنهاد ممهور به مهر و امضاء بیمه گزار موارد توسط شعب و سرپرستی های مناطق بررسی و درصورت صلاحدید و دستورالعمل اقدام لازم صورت می پذیرد.
4,در طرح های sme که  برای پرسنل یک شرکت صادر شود می توان طرح های متفاوت صادر کرد؟,پرسنل می توانند طرح های متفاوت داشته باشند اما بیمه شده اصلی با افراد تحت پوشش  میبایست یکی باشد.
5,آیا  طرح های  sme را میتوان بصورت انفرادی یا خانودگی تهیه نمود؟,خیر-در حال حاضر طرح های sme فقط در قالب حقوقی و به صورت گروهی صادر می شود.
6,مدت زمان اضافه شدن به لیست بیمه سرپرست برای موارد ازدواج و تولد چه قدر میباشد؟,مدت زمان اضافه شدن به لیست سرپرست در مورد ازدواج یک ماه و در مورد تولد دو ماه میباشد.
7,در بیمه گروهی فرزند متولد شده از سقف مادر برای nicu میتواند استفاده کند؟,منابع انسانی شرکت باید نامه ای مکتوب + مستندات پدر و مادر+ گواهی ولادت+ شناسنامه+ نامه مکتوب ممهور بیمه کذار(شرکت) که تایید کند فرزند به بیمه حتما اضافه میگردد، با طی شدن این مراحل فرزند از سقف بیمه خود پرداخت میشود.
8,مستثنی از گروه سایر در قراردادهای گروهی به چه مفهومی می باشد؟,یعنی موارد ذکر شده تحت پوشش می باشد و از سقف مربوطه کسر میگردد
9,دارندگان دستگاه پز سامان و یا مشتریان ویژه بانک سامان جهت خرید بیمه تکمیلی چه اقدامی انجام دهند؟,به شعبه ی بانکی که حساب دارند و مشتری ویژه اش هستند  و یا دستگاه پز را از آن شعبه تحویل گرفتند مراجعه کنند و یا با شماره 22622952و 51 و یا شماره موبایل 09999928943 بانک-بیمه تماس بگیرند.
10,در چه صورت قرارداد بیمه تکمیلی گروهی  شرکت دیگری جز سامان مورد قبول بیمه سامان می باشد؟دوره انتظار حذف میگردد؟,اگر کل شرکت بیمه گروهی شان را تا 30روز از شرکت قبلی انتقال بدهد به سامان سوابق حفظ خواهد شد،و دوره انتظار حذف میگردد و همچنین اگر پرسنل شرکت بالای 1000نفر باشند دوره انتظار حذف می گردد.
11,آیا طرح های sme تخفیف دارند؟,خیر
12,آیا مراکز درمانی مثل  بیمارستان ها ،کلینیک ها میتوانند درخواست صدور بیمه تکمیلی گروهی سامان را برای پرسنل خود داشته باشند؟,سیاست بیمه سامان بدین صورت می باشد که برای پرسنل مراکز درمانی مثل بیمارستان ها ،کلینیک ها و ... صدور بیمه تکمیلی درمان  بشکل گروهی انجام نمی پذیرد.
13,در طرح های sme بیمه پایه ی پرسنل به چه صورت میبایست باشد؟,دارا بودن بیمه گر پایه جهت صدور sme الزامی می باشد.
14,اضافه نرخ در طرح های sme به چه صورت است؟,برای بیمه شدگان 61-70 سال معادل 50% و برای بیمه شدگان71-75 سال که صرفا بیمه شدگان وفادار امکان استفاده دارند،معادل 200% می باشد.
15,فرانشیز در طرح های sme به چه صورت است؟,فرانشیز 10% می باشد.
16,جهت صدور طرح های sme شرکت یا مجموعه می بایست حتما کد اقتصادی داشته باشند؟,استفاده از بیمه نامه های درمان گروههای کوچک و متوسط (SME) در قالب درمان خانواده برای گروههای کوچک و متوسط، در صورتی امکان پذیر است که کارگاه دارای کد اقتصادی یا کارگاهی و دارای لیست تامین اجتماعی باشند.
17,آیا در طرح های sme بیمه شده اصلی و فرعی می بایست فرم سلامت را تکمیل کنند؟,برای هر بیمه شده اصلی و فرعی مربوطه، یک بیمه نامه خانواده با طرح sme صادر می شود لذا همه ی بیمه شدگان می بایست فرم سلامت را تکمیل نمایند و با نظر پزشک معتمد تحت پوشش قرار گیرند،فرم پیشنهاد بیمه درمان فقط برای بیمه شدگان اصلی تکمیل می شود در صورتیکه پرسشنامه سلامت برای کلیه متقاضیان بصورت جداگانه تکمیل گردد.
18,آیا در یک خانواده جهت صدور smeهمه ی اعضا می بایست درخواست صدور دهند؟آیا بیمه گر می تواند پوشش زایمان و یا بیماری های زمینه ای را استثنا کند؟,بیمه شده اصلی می بایست پیشنهاد بیمه برای خود و کلیه اعضای خانواده ی خود را درخواست نماید و فرم پرسشنامه گواهی سلامت را به طور کامل و خوانا تکمیل نمایند، در صورتی که کلیه ی اعضای خانواده قصد استفاده از بیمه نامه را نداشته باشند امکان استفاده از این تسهیلات برای سایر اعضای خانواده نیز وجود ندارد، در نتیجه فقط بیمه شده ی اصلی می تواند تحت پوشش قرارگیرد، همچنین بیمه گر می تواند با توجه به پاسخ های مندرج در پرسشنامه گواهی سلامت، از ارائه ی پوشش بیمه ای به فرد یا افرادی از گروه یا افراد تحت تکفل بیمه شده اصلی و یا از ارائه پوشش هزینه زایمان و یا بیماری هایی که سابقه قبلی آنها بر اساس مستندات محرز شود و فرد از آن مطلع بوده است، خودداری نماید.
19,اضافه شدن و تاریخ شروع بیمه تکمیلی  پرسنل جدید در طرح های sme به چصورت است؟,"مدت بیمه نامه پرسنلی که در اثنای قرارداد به مجموعه گروه های خود اضافه می گردند ،زمان واریز اولین حق بیمه پرداختی برابربا تاریخ شروع بیمه نامه و پایان بیمه نامه وی برابر با روز و ساعت مشابه در سال آتی خواهد شد. (به عبارت دیگر تاریخ شروع و پایان 
بیمه نامه افراد جدیدالاستخدامی که بعد از شروع قرارداد اضافه می گردند با سایرین متفاوت خواهد بود.)، همچنین لازم بذکر می باشد،افراد جدیدالاستخدام، در همان شماره قراردادی که سایر اعضا تعریف شده اند قرار می گیرند و حق بیمه آنها نیز مطابق سایر اعضای 
گروه می باشد و در مورد اضافه شدن افراد جدید الاستخدام مهلت ارائه لیست تامین اجتماعی از تاریخ شروع به کار 70روز در نظر گرفته  می شود."
20,در طرح های sme امکان حذف بیمه شده وجود دارد؟,"در این بیمه‌نامه امکان حذف بیمه‌شده مگر در حالت های فوت بیمه‌شده، طلاق و یا قطع همکاری وجود ندارد، 
در صورت قطع قرارداد همکاری بیمه شده اصلی، با شرکت بیمه گذار ،یا فوت وی، در صورتی که حق بیمه به صورت کامل 
توسط بیمه‌گزار پرداخت گردد، پوشش برای سایر اعضای خانواده وی تا پایان مدت قرارداد معتبر بوده و قابل استفاده است."
21,امکان اضافه شدن همسر و نوزاد در smeبه چه صورت می باشد؟,"

 اضافه‌شدن بیمه‌شدگان مثل همسر جدید الازدواج بیمه‌شده اصلی شاغل در شرکت 
و دارای پوشش بیمه درمان (اعلام به بیمه گر حداکثر تا یک ماه پس از تاریخ عقد)، نوزاد (اعلام به بیمه گر حداکثر دو ماه از بدو تولد)
نحوه تحت پوشش قراردادن نوزاد/ نوزادان بدین شکل می باشد که ابتدا پس از تولد، پرسشنامه گواهی سلامت  تکمیل شده، پرونده زایمان و نامه ویزیت متخصص اطفال جهت تایید سلامتی نوزاد به عامل صدور ارائه شده و بررسی سلامت نوزاد توسط پزشک معتمد شرکت انجام می‌گیرد و در صورت تأیید پزشک معتمد و همچنین با در نظر گرفتن شرط ذیل، نوزاد از بدو تولد به بیمه نامه اضافه می‌گردد: 
 شرط صدور بیمه‌نامه درمان تکمیلی برای نوزاد، داشتن بیمه‌نامه درمان تکمیلی توسط پدر یا مادر (بیمه‌گذار) نوزاد (به شرط حیات و سرپرستی خانواده) است. 






"
22,آیا هلدینگ ها هم می توانند درخواست صدور sme دهند؟,در خصوص هلدینگ‌ها  با ارائه مستندات از جمله روزنامه رسمی که نشانگر ارتباط بین زیرمجموعه ها باشد، شرکت مادر میتواند بعنوان بیمه گزار حقوقی پرداخت کننده حق بیمه ثبت گردد. بدیهی است در غیر این صورت امکان تجمیع چند بیمه گزاربا کدکارگاهی متفاوت وجود نخواهد داشت.
23,تاریخ شروع بیمه نامه های sme از چه زمانی می باشد؟,صدور بیمه نامه تنها پس از تایید کارشناس و یا پزشک معتمد امکان پذیر خواهد بود.لازم به ذکر است  تاریخ شروع بیمه نامه برابر با تاریخ واریز 25% از حق بیمه کل اعضا گروه در وجه بیمه سامان خواهد بود (پرداختهایی که کمتر از 25%باشند ملاک تاریخ شروع بیمه نامه نخواهند بود.)در صورتیکه از تاریخ تایید پزشک معتمد بیش از یک ماه بگذرد و هنوز 25%حق بیمه به حساب بیمه سامان واریز نشده باشد ،می بایست فرم پرسشنامه سلامت مجدد تکمیل و مورد ارزیابی پزشک قرار گیرد.
24,در طرح های sme پدر و مادر غیر تحت تکفل بیمه شده اصلی میتوانند درخواست صدور دهند؟,"پدر و مادر غیر تحت تکفل بیمه شده اصلی با تکمیل فرم پرسشنامه گواهی سلامت  
در صورت تایید (پزشک معتمد) امکان استفاده از بیمه نامه را خواهند داشت."
25, افرادی که به عنوان همسر و یا نوزاد در حین بیمه نامه به اعضای خانواده بیمه شده اصلی اضافه می شوند، تاریخ اعتبار بیمه نامه ی آنها در طرح های sme به چصورت می شود؟,"
افرادی که به عنوان همسر و یا نوزاد در حین بیمه نامه به اعضای خانواده بیمه شده اصلی اضافه می شوند، تاریخ اعتبار بیمه نامه ی آنها تا پایان سال بیمه ای مربوط به بیمه نامه ی بیمه شده ی اصلی می باشد."
26,"در صورتی که یکی از اعضای خانواده بیماری داشته باشد و سایر افراد سلامت باشند، 
صدور بیمه نامه smeبه چه صورت است؟","در صورتی که یکی از اعضای خانواده بیماری داشته باشد و سایر افراد سلامت باشند، صدور بیمه نامه، با شرایط استثنا،
 فقط برای همان فرد در خانواده (شخص بیمه شده دارای شرایط استثنا) می باشد، 
در هنگام خسارت نیز می بایست به این موضوع توجه شود و سقف تعهد افراد سلامت، با سقف تعهد فردی که دارای شرایط
 استثنا می باشد دچار تداخل نشود."
27,در چه شرایطی  برای صدور sme فرم سلامت علی رغم عدم وجود هیچگونه بیماری ،پزشک معتمد حتما فرم سلامت را بررسی می کنند؟در صورت وجود بیماری زمینه ای به چه صورت است؟,"در هر یک از حالات ذیل علی رغم عدم وجود هیچ گونه بیماری، عامل صدور می بایست حتماً فرم های تکمیل 
شده پرسشنامه گواهی سلامت و فرم پیشنهاد بیمه نامه درمان
 تکمیلی خانواده متقاضی را جهت اعلام نظر برای پزشک معتمد ارسال نماید:
1)در صورتی که سن متقاضی 60 سال و بیشتر باشد؛
2)در صورتی که سن متقاضی 5 سال و کمتر باشد؛
3)در صورتی که شاخص توده بدنی متقاضی BMI از 35 بیشتر باشد؛
4)در صورتی که شاخص توده بدنی متقاضی BMI از 19 کمتر باشد؛
5)در صورتی که متقاضی مرد بالغ (بالای 14 سال سن) بوده و قد کوتاهتر از 155 سانتی متر داشته باشد.
6)در صورتی که متقاضی زن بالغ (بالای 11 سال سن) بوده و قد کوتاهتر از 145 سانتی متر داشته باشد.
7)در صورتی که متقاضی ورزش حرفه‌ای انجام می دهد. (این موضوع را در پرسشنامه گواهی سلامت  اعلام کرده باشد)

در صورتی که بیمه شده سابقه ابتلاء به بیماری خاصی را داشته و آن را در فرم پرسشنامه گواهی سلامت اعلام کرده است، عامل صدور می بایست مدارک پزشکی و آزمایشگاهی مربوطه را از بیمه شده دریافت و اسکن مدارک مذکور را به همراه فرم پرسشنامه گواهی سلامت برای پزشک معتمد ارسال نماید."
28,در چه شرایطی برای صدور sme فرم سلامت توسط پزشک معتمد بررسی نمی شود؟,"در صورتیکه فرم تکمیل شده پرسشنامه سلامت فاقد هرگونه بیماری و مشکل باشد و در صورتیکه فرم تکمیل شده تنها شامل عمل جراحی زیبایی بینی،آپاندیس،لوزه و سزارین بوده و نتیجه عمل ها رضایت بخش باشد.
*نکته*
در صورتی که بیمه گزار در پاسخ به سوال «آیا مورد عمل جراحی قرار گرفته اید» اعمال جراحی زیبایی بینی، آپاندیس، لوزه و سزارین را در فرم پرسشنامه گواهی سلامت ذکر نماید، عامل فروش می بایست ایشان را راهنمایی نماید که حتماً زمان و نتیجه ی آن عمل را در پرسشنامه درج نماید. لازم به ذکر است تنها در صورتی که نتیجه این اعمال جراحی از طرف بیمه گزار بصورت رضایت بخش اعلام شده باشد، نیازی به ارسال فرم‌های تکمیل‌شده پرسشنامه گواهی سلامت و فرم پیشنهاد بیمه‌نامه درمان تکمیلی خانواده متقاضی جهت بررسی و اعلام نظر برای پزشک معتمد نمی‌باشد، در غیر اینصورت فرم‌های مذکور می بایست جهت ارزیابی و اعلام نظر برای پزشک معتمد بیمه گر ارسال گردد."
29,برای صدور sme آیا مدارک پزشکی و آزمایشاتی و ... که پزشک معتمد جهت  ارائه، درخواست می کند هزینه بر عهده بیمه گزار می باشد؟ ,"کلیه هزینه‌ها (آزمایشات، ویزیت و ...) به عهده بیمه‌گزار بوده و متقاضی صدور بیمه‌نامه  در انتخاب مراکز درمانی مختار به انتخاب است، همچنین لازم بذکر می باشد در صورتیکه آزمایش های تعیین شده برای متقاضی، در 6 ماه گذشته انجام شده باشند 
عامل فروش می بایست ضمن هماهنگی با متقاضی، تاریخ و نوع آزمایشات انجام شده را به اطلاع پزشک معتمد برساند
 در صورت تایید پزشک معتمد نیازی به انجام مجدد آزمایشات نبوده و سوابق مورد پذیرش می­باشد. 
در غیر اینصورت متقاضی می بایست آزمایشات را مجدداً انجام داده و نتایج آن را ارائه دهد."
30,در طرح های smeدر چه صورتی دوره انتظار حذف می گردد؟,"دوره انتظار برای گروه‌های کوچک و متوسط  با ارائه آخرین لیست بیمه‌شدگان معتبر سال گذشته که
 به مهر و امضای ستاد مرکزی شرکت بیمه‌گر قبلی رسیده باشد-برای اسامی مندرج در لیست
 مذکور- حذف خواهد شد، مشروط به آنکه از لحاظ زمانی بین دو بیمه نامه بیش از یک ماه فاصله ایجاد نشده باشد.
*نکته*:
 در صورتی که بیمه‌شده جدید به شرکت بیمه‌گزار اضافه شود، تنها در صورتی که شرایط بالا را داشته باشد، دوره انتظار این بیمه‌شده و بیمه‌شدگان فرعی وی حذف می‌گردد، بدین معنی که حذف دوران انتظار هر بیمه شده بسته به پوشش قبلی تک تک بیمه شدگان می‌باشد.
"
31,طرح های smeدر سایت قابل رویت هستند؟,بله،در منوی سایت،قسمت محصولات،بیمه درمان طرح های sme قابل رویت هستند.
خسارت بیمه تکمیلی ,,
